air_temperature_2m,black_sky_albedo,black_sky_albedo_avhrr,cee,cer,cfc,cot,cph,cth,ctp,ctt,fapar_tip,gross_primary_productivity,iwp,latent_energy,leaf_area_index,lwp,max_air_temperature_2m,min_air_temperature_2m,net_ecosystem_exchange,net_radiation,par,precipitation,precipitation_era5,sensible_heat,stemp,terrestrial_ecosystem_respiration,white_sky_albedo,white_sky_albedo_avhrr,time
295.52707,0.055398967,0.17450653,0.77896553,13.83862,0.59055036,6.132017,0.6000939,6.313643,522.07935,265.17517,0.17903309,4.8483057,58.877384,9.201603,0.6321193,41.11064,301.05002,291.23862,-0.69593483,12.671947,111.62,3.692902,0.13315232,2.3137262,295.92786,4.040574,0.07706642,0.17822334,2002-03-26
295.618,0.056136526,0.24558523,0.8321336,20.063324,0.84645414,8.024255,0.42567533,7.5042305,456.1662,257.6426,0.14109345,5.0157413,162.4982,9.248978,0.57934415,61.239346,301.5439,291.87128,-0.8066791,12.881272,101.89333,1.3622777,0.10973901,2.4349394,295.46854,4.1618576,0.08162549,0.25075355,2002-04-03
294.46698,0.05481723,0.27942616,0.8498562,22.138214,0.9317549,8.654997,0.36753616,7.9010906,434.19528,255.13177,0.10916239,5.0377684,197.03827,8.238988,0.53911763,67.948875,299.72675,290.8168,-0.84197134,11.512005,88.15429,4.712817,0.18990615,2.0694113,295.31543,3.9301612,0.08148601,0.28891325,2002-04-11
295.30008,0.053153154,0.21991545,0.8498562,22.138214,0.9317549,8.654997,0.36753616,7.9010906,434.19528,255.13177,0.14357795,5.7228346,197.03827,9.572496,0.61590064,67.948875,300.4538,291.77997,-0.9840798,13.416532,108.2,8.441359,0.3314609,2.534211,295.31543,4.2775173,0.0814289,0.22402795,2002-04-19
295.2107,0.05119257,0.20665288,0.8498562,22.138214,0.9317549,8.654997,0.36753616,7.9010906,434.19528,255.13177,0.25167564,5.371625,197.03827,8.409567,1.0037695,67.948875,300.1921,291.38583,-0.9860126,11.699361,91.085,5.163363,0.31882337,2.1350853,295.31543,4.054858,0.077625476,0.208139,2002-04-27
295.77246,0.051952284,0.20047633,0.80988973,22.014517,0.93594617,5.1183968,0.22914676,9.368139,358.10062,246.0958,0.24135853,6.2677884,98.99395,10.4317875,0.93685585,35.9927,301.11133,291.93155,-1.222371,14.330795,120.07333,3.093801,0.19738875,2.7616928,295.87344,4.4588146,0.07510774,0.20466974,2002-05-05
296.12164,0.051550526,0.20345633,0.80988973,22.014517,0.93594617,5.1183968,0.22914676,9.368139,358.10062,246.0958,0.29308134,5.784778,98.99395,9.269496,1.2271523,35.9927,301.36218,292.42447,-0.9403908,12.860962,110.36,18.650623,0.21681623,2.4358857,295.87344,4.419399,0.068465665,0.20548712,2002-05-13
295.4965,0.05123125,0.19186014,0.80988973,22.014517,0.93594617,5.1183968,0.22914676,9.368139,358.10062,246.0958,0.2648499,5.4656134,98.99395,9.159323,1.039772,35.9927,300.995,292.02606,-0.9387858,12.468684,101.64,4.333505,0.41523883,2.353641,295.87344,4.0979037,0.064159006,0.19822253,2002-05-21
294.6544,0.05186225,0.19350314,0.80099434,21.176065,0.92750436,5.037796,0.25616875,9.100743,371.91962,247.75185,0.19660059,5.6781054,93.653946,8.769058,0.60203993,36.246037,299.80902,291.62885,-0.88019395,11.892197,96.85,8.210325,0.23866417,2.2166579,295.92303,4.245064,0.06532556,0.20554237,2002-05-29
294.5411,0.04994285,0.20330757,0.73872656,15.306922,0.8684116,4.473591,0.4453223,7.228978,468.65237,259.34415,0.14449874,5.7919674,56.27401,9.342554,0.40837488,38.019386,300.10593,291.21176,-0.9887413,12.609713,96.3,4.669726,0.26154593,2.3185155,296.27014,4.2627153,0.06335524,0.21646187,2002-06-06
